,Opportunity Name,Created Date,Close Date, Account Name, Account Type, Opp Value (EUR),Stage,Opportunity Owner,Country,Region,Segment,Lead Source,Type,Primary Campaign Source,Close Reason,Business Type,Deal Opened (Days)
40,Opp 45,2023-06-28,2024-02-27, Account 38, Small,,Closed Lost,Sales Specialist 7,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Project/Budget Cancelled/Out of Business,Unknown,244
41,Opp 47,2023-08-31,2024-03-07, Account 40, Top 3,3.842,Closed Lost,Sales Specialist 7,Country 1,Region 1,Segment 3,Email,New Business,Campaing 7,Unable to Confirm Sale,Unknown,189
42,Opp 48,2023-08-31,2024-03-07, Account 41, Top 1,3.842,Closed Lost,Sales Specialist 7,Country 1,Region 1,Segment 3,Email,New Business,Campaing 7,Unable to Confirm Sale,Unknown,189
43,Opp 49,2023-04-24,2024-03-07, Account 42, Small,2.717,Closed Lost,Sales Specialist 7,Country 1,Region 1,Unknown,Referral,New Business,Campaing 7,Unable to Confirm Sale,Unknown,318
44,Opp 50,2023-11-15,2024-03-07, Account 43, Small,852.0,Closed Lost,Sales Specialist 7,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Unable to Confirm Sale,Unknown,113
45,Opp 51,2023-08-31,2024-03-10, Account 44, Small,148.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 3,Email,New Business,Campaing 7,Service & Support,Unknown,192
46,Opp 52,2023-12-15,2024-03-12, Account 45, Small,158.0,Closed Lost,Sales Specialist 20,Country 1,Region 1,Segment 3,Unknown,Existing Business,Campaing 7,Unable to Confirm Sale,Unknown,88
47,Opp 53,2024-02-08,2024-04-06, Account 46, Small,18.0,Closed Lost,Sales Specialist 8,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Automatically closed,Unknown,58
48,Opp 54,2023-11-23,2024-05-02, Account 30, Small,221.0,Closed Lost,Sales Specialist 6,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Unable to Confirm Sale,Unknown,161
49,Opp 55,2024-04-16,2024-06-11, Account 47, Small,0.0,Closed Lost,Sales Specialist 18,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Unable to Confirm Sale,Unknown,56
50,Opp 56,2024-05-28,2024-06-20, Account 48, Small,115.0,Closed Won,Sales Specialist 18,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 7,Features / Specification / Performance,Unknown,23
51,Opp 57,2023-07-05,2024-01-26, Account 49, Top 2,8.842,Closed Lost,Sales Specialist 21,Country 1,Region 1,Segment 4,Unknown,New Business,Campaing 8,Project/Budget Cancelled/Out of Business,Unknown,205
52,Opp 58,2023-07-28,2024-01-26, Account 49, Top 2,3.752,Closed Won,Sales Specialist 21,Country 1,Region 1,Segment 4,Unknown,New Business,Campaing 8,Availability / Lead Time,Unknown,182
53,Opp 59,2023-05-22,2024-04-05, Account 50, Top 2,13.881,Closed Lost,Sales Specialist 22,Country 1,Region 1,Segment 4,Unknown,New Business,Campaing 8,Unique bundling offer / Sales Tactics,Unknown,319
54,Opp 60,2022-02-24,2024-01-03, Account 51, Top 3,376.848,Closed Lost,Sales Specialist 10,Country 2,Region 1,Segment 3,Unknown,Existing Business,Campaing 9,Project/Budget Cancelled/Out of Business,Unknown,678
55,Opp 61,2022-08-12,2024-02-19, Account 52, Top 3,17.705,Closed Lost,Sales Specialist 10,Country 2,Region 1,Segment 3,Unknown,Existing Business,Campaing 9,Project/Budget Cancelled/Out of Business,Unknown,556
56,Opp 62,2022-03-22,2024-03-28, Account 53, Top 3,443.0,Closed Lost,Sales Specialist 23,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 9,Unable to Confirm Sale,Unknown,737
57,Opp 63,2023-09-28,2024-03-02, Account 54, Small,199.0,Closed Lost,Sales Specialist 24,Country 2,Region 1,Segment 1,Unknown,Existing Business,Campaing 10,Automatically closed,Unknown,156
58,Opp 64,2023-12-11,2024-03-02, Account 55, Top 3,221.0,Closed Lost,Sales Specialist 24,Country 2,Region 1,Segment 1,Unknown,Existing Business,Campaing 10,Automatically closed,Unknown,82
59,Opp 65,2023-12-11,2024-04-22, Account 56, Top 3,221.0,Closed Won,Sales Specialist 24,Country 2,Region 1,Segment 1,Unknown,Existing Business,Campaing 10,Service & Support,Unknown,133
60,Opp 68,2023-04-18,2024-02-03, Account 59, Top 3,,Closed Lost,Sales Specialist 24,Country 2,Region 1,Segment 1,Unknown,Existing Business,Campaing 13,Automatically closed,Unknown,291
61,Opp 69,2023-09-12,2024-01-08, Account 60, Small,1.189,Closed Lost,Sales Specialist 27,Country 5,Region 2,Segment 3,Unknown,Existing Business,Campaing 14,Price,Existing Business,118
62,Opp 70,2022-04-20,2024-01-08, Account 61, Top 3,406.0,Closed Lost,Sales Specialist 27,Country 5,Region 2,Segment 3,Unknown,New Business,Campaing 14,Unable to Confirm Sale,Unknown,628
