,Opportunity Name,Created Date,Close Date, Account Name, Account Type, Opp Value (EUR),Stage,Opportunity Owner,Country,Region,Segment,Lead Source,Type,Primary Campaign Source,Close Reason,Business Type,Deal Opened (Days)
49864,Opp 78791,2024-11-05,2024-12-07, Account 607, Top 2,256.0,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,32
49865,Opp 78792,2024-11-06,2024-12-07, Account 587, Top 3,95.0,Closed Lost,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,31
49866,Opp 78793,2024-11-06,2024-12-07, Account 587, Top 3,33.0,Closed Lost,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,31
49867,Opp 78794,2024-11-06,2024-12-07, Account 587, Top 3,146.0,Closed Lost,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,31
49868,Opp 78795,2024-07-09,2024-12-07, Account 102, Top 3,913.0,Closed Won,Sales Specialist 41,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,151
49869,Opp 78796,2024-11-18,2024-12-07, Account 1567, Top 3,86.0,Closed Won,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,19
49870,Opp 78797,2024-11-13,2024-12-07, Account 1486, Top 3,708.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,24
49871,Opp 78798,2024-11-22,2024-12-07, Account 638, Top 2,191.0,Closed Won,Sales Specialist 43,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,15
49872,Opp 78799,2024-11-29,2024-12-07, Account 645, Top 3,172.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,8
49873,Opp 78801,2024-10-17,2024-12-09, Account 99, Top 3,27.885,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Price,Unknown,53
49874,Opp 78802,2024-10-17,2024-12-09, Account 99, Top 3,16.156,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Price,Unknown,53
49875,Opp 78803,2024-07-13,2024-12-09, Account 593, Top 1,1.279,Closed Won,Sales Specialist 46,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Availability / Lead Time,Unknown,149
49876,Opp 78804,2024-11-08,2024-12-14, Account 1741, Small,363.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,36
49877,Opp 78805,2024-11-14,2024-12-14, Account 105, Top 2,77.0,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,30
49878,Opp 78806,2024-11-18,2024-12-14, Account 607, Top 2,221.0,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,26
49879,Opp 78807,2024-11-19,2024-12-14, Account 1531, Top 3,244.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,25
49880,Opp 78808,2024-11-27,2024-12-14, Account 6, Top 2,625.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,17
49881,Opp 78809,2024-12-02,2024-12-14, Account 2289, Top 3,72.0,Closed Won,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,12
49882,Opp 78810,2024-12-04,2024-12-14, Account 1484, Top 2,309.0,Closed Won,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,10
49883,Opp 78811,2024-11-14,2024-12-17, Account 1363, Top 3,586.0,Closed Won,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Price,Unknown,33
49884,Opp 78812,2024-11-18,2024-12-21, Account 1792, Top 3,110.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,33
49885,Opp 78813,2024-12-09,2024-12-21, Account 1554, Top 3,448.0,Closed Won,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,12
49886,Opp 78814,2024-11-13,2024-12-28, Account 640, Top 2,144.0,Closed Lost,Sales Specialist 46,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,45
49887,Opp 78815,2024-11-26,2024-12-28, Account 2173, Top 1,228.0,Closed Lost,Sales Specialist 47,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,32
49888,Opp 78816,2024-11-26,2024-12-28, Account 607, Top 2,314.0,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,32
49889,Opp 78817,2024-11-28,2024-12-28, Account 1804, Small,15.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 150,Automatically closed,Unknown,30
49890,Opp 78818,2024-07-05,2024-07-13, Account 1354, Top 1,67.0,Closed Won,Sales Specialist 41,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,8
49891,Opp 78819,2024-06-28,2024-07-13, Account 105, Top 2,255.0,Closed Won,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,15
49892,Opp 78820,2024-07-12,2024-07-20, Account 1732, Top 3,138.0,Closed Won,Sales Specialist 47,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,8
49893,Opp 78821,2024-07-11,2024-07-20, Account 105, Small,83.0,Closed Won,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,9
49894,Opp 78822,2024-07-26,2024-07-30, Account 4351, Small,141.0,Closed Won,Sales Specialist 15,Country 2,Region 1,Segment 3,Unknown,Existing Business,Campaing 151,Brand Recognition / Supplier Reputation,Unknown,4
49895,Opp 78823,2024-07-02,2024-08-03, Account 105, Top 2,124.0,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,32
49896,Opp 78824,2024-07-02,2024-08-03, Account 1667, Top 3,24.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,32
49897,Opp 78825,2024-07-01,2024-08-06, Account 1985, Small,593.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Price,Unknown,36
49898,Opp 78826,2024-07-17,2024-08-10, Account 105, Top 2,35.0,Closed Won,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,24
49899,Opp 78827,2024-08-08,2024-08-24, Account 1922, Top 3,56.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,16
49900,Opp 78828,2024-07-26,2024-08-31, Account 120, Top 3,25.0,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,36
49901,Opp 78829,2024-07-30,2024-08-31, Account 227, Top 3,32.0,Closed Lost,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,32
49902,Opp 78830,2024-08-05,2024-08-31, Account 600, Small,113.0,Closed Lost,Sales Specialist 50,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,26
49903,Opp 78831,2024-08-16,2024-08-31, Account 113, Top 2,226.0,Closed Won,Sales Specialist 46,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,15
49904,Opp 78832,2024-08-21,2024-08-31, Account 255, Top 1,35.0,Closed Won,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,10
49905,Opp 78833,2024-08-23,2024-08-31, Account 644, Top 3,11.0,Closed Won,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,8
49906,Opp 78834,2024-07-22,2024-09-07, Account 105, Top 2,124.0,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,47
49907,Opp 78835,2024-08-08,2024-09-07, Account 3457, Top 3,227.0,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,30
49908,Opp 78836,2024-08-08,2024-09-12, Account 113, Top 2,50.0,Closed Won,Sales Specialist 46,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,35
49909,Opp 78837,2024-08-16,2024-09-14, Account 227, Top 3,45.0,Closed Lost,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,29
49910,Opp 78838,2024-08-05,2024-09-21, Account 607, Top 2,60.0,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,47
49911,Opp 78839,2024-08-19,2024-09-21, Account 3192, Small,11.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,33
49912,Opp 78840,2024-08-21,2024-09-21, Account 2222, Top 3,32.0,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,31
49913,Opp 78841,2024-09-09,2024-09-21, Account 916, Top 1,350.0,Closed Won,Sales Specialist 47,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,12
49914,Opp 78842,2024-08-28,2024-09-26, Account 3192, Small,956.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Brand Recognition / Supplier Reputation,Unknown,29
49915,Opp 78843,2024-08-08,2024-09-28, Account 646, Small,255.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 3,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,51
49916,Opp 78844,2024-08-08,2024-09-28, Account 105, Top 2,,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,51
49917,Opp 78845,2024-08-30,2024-10-05, Account 277, Top 3,57.0,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,36
49918,Opp 78846,2024-09-02,2024-10-05, Account 1985, Small,26.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,33
49919,Opp 78847,2024-08-19,2024-10-07, Account 105, Top 2,860.0,Closed Won,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Customer Relationship,Unknown,49
49920,Opp 78848,2024-09-12,2024-10-12, Account 3192, Small,160.0,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,30
49921,Opp 78849,2024-09-26,2024-10-12, Account 1554, Top 3,31.0,Closed Won,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,16
49922,Opp 78850,2024-09-18,2024-10-19, Account 120, Top 3,159.0,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,31
49923,Opp 78851,2024-09-29,2024-10-26, Account 5566, Top 3,28.0,Closed Lost,Sales Specialist 76,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,27
49924,Opp 78852,2024-10-10,2024-10-26, Account 2194, Top 3,14.0,Closed Won,Sales Specialist 83,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,16
49925,Opp 78853,2024-09-30,2024-11-02, Account 607, Top 2,13.0,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,33
49926,Opp 78854,2024-10-14,2024-11-04, Account 593, Top 1,468.0,Closed Won,Sales Specialist 46,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Customer Relationship,Unknown,21
49927,Opp 78855,2024-10-04,2024-11-04, Account 593, Top 1,242.0,Closed Won,Sales Specialist 46,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Customer Relationship,Unknown,31
49928,Opp 78856,2024-11-06,2024-11-09, Account 277, Top 3,443.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,3
49929,Opp 78857,2024-10-08,2024-11-11, Account 1488, Top 3,700.0,Closed Lost,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Price,Unknown,34
49930,Opp 78858,2024-10-31,2024-11-16, Account 1531, Top 3,272.0,Closed Won,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,16
49931,Opp 78859,2024-10-23,2024-11-23, Account 5567, Small,96.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,31
49932,Opp 78860,2024-10-23,2024-11-23, Account 5567, Small,96.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,31
49933,Opp 78861,2024-08-12,2024-11-25, Account 591, Top 2,567.0,Closed Lost,Sales Specialist 46,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Brand Recognition / Supplier Reputation,Unknown,105
49934,Opp 78862,2024-10-07,2024-11-25, Account 2117, Top 2,37.0,Closed Won,Sales Specialist 46,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Customer Relationship,Unknown,49
49935,Opp 78863,2024-10-02,2024-11-26, Account 1890, Small,46.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Unable to Confirm Sale,Unknown,55
49936,Opp 78864,2024-10-15,2024-12-02, Account 105, Top 2,596.0,Closed Won,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Brand Recognition / Supplier Reputation,Unknown,48
49937,Opp 78865,2024-11-05,2024-12-04, Account 5568, Small,154.0,Closed Won,Sales Specialist 50,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Customer Relationship,Unknown,29
49938,Opp 78866,2024-08-26,2024-12-07, Account 159, Top 3,42.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,103
49939,Opp 78867,2024-11-06,2024-12-07, Account 1705, Small,155.0,Closed Lost,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,31
49940,Opp 78868,2024-11-13,2024-12-14, Account 1554, Top 3,261.0,Closed Lost,Sales Specialist 155,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,31
49941,Opp 78869,2024-11-14,2024-12-16, Account 105, Top 2,588.0,Closed Won,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Brand Recognition / Supplier Reputation,Unknown,32
49942,Opp 78870,2024-11-22,2024-12-21, Account 1661, Top 3,401.0,Closed Lost,Sales Specialist 47,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,29
49943,Opp 78871,2024-11-27,2024-12-28, Account 2687, Small,207.0,Closed Lost,Sales Specialist 68,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 151,Automatically closed,Unknown,31
49944,Opp 78872,2024-02-06,2024-07-08, Account 610, Top 2,225.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,153
49945,Opp 78873,2023-09-07,2024-07-22, Account 610, Top 2,652.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,319
49946,Opp 78874,2024-02-23,2024-07-22, Account 610, Top 2,684.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,150
49947,Opp 78875,2024-02-16,2024-07-24, Account 4310, Small,987.0,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 1,Unknown,New Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,159
49948,Opp 78876,2024-02-07,2024-07-24, Account 610, Top 2,442.0,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,168
49949,Opp 78877,2023-12-04,2024-08-20, Account 610, Top 2,3.456,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Availability / Lead Time,Unknown,260
49950,Opp 78878,2024-01-15,2024-08-22, Account 610, Top 2,893.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,220
49951,Opp 78879,2024-05-10,2024-08-22, Account 610, Top 2,1.563,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,Existing Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,104
49952,Opp 78880,2024-02-16,2024-08-23, Account 610, Top 2,689.0,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,189
49953,Opp 78881,2023-08-29,2024-08-23, Account 610, Top 2,704.0,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,360
49954,Opp 78882,2023-11-16,2024-09-03, Account 610, Top 2,2.609,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,292
49955,Opp 78883,2024-02-16,2024-09-06, Account 4310, Small,2.779,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 1,Unknown,New Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,203
49956,Opp 78884,2024-07-25,2024-09-09, Account 610, Top 2,286.0,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,46
49957,Opp 78885,2023-07-31,2024-09-11, Account 610, Top 2,3.121,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,408
49958,Opp 78886,2024-02-05,2024-10-09, Account 610, Top 2,4.721,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Price,Unknown,247
49959,Opp 78887,2023-07-24,2024-10-30, Account 610, Top 2,8.363,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,464
49960,Opp 78888,2024-09-17,2024-11-02, Account 610, Top 2,0.0,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Automatically closed,Unknown,46
49961,Opp 78889,2024-10-22,2024-12-02, Account 610, Top 2,93.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,41
49962,Opp 78890,2024-10-22,2024-12-02, Account 610, Top 2,82.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,41
49963,Opp 78891,2024-02-16,2024-12-09, Account 4310, Small,1.197,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 1,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,297
49964,Opp 78892,2024-08-21,2024-12-15, Account 610, Top 2,1.22,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,Existing Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,116
49965,Opp 78893,2024-05-29,2024-12-15, Account 610, Top 2,631.0,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,Existing Business,Campaing 152,Project/Budget Cancelled/Out of Business,Unknown,200
49966,Opp 78894,2024-09-26,2024-12-15, Account 610, Top 2,402.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,80
49967,Opp 78895,2024-09-02,2024-12-15, Account 610, Top 2,945.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 152,Brand Recognition / Supplier Reputation,Unknown,104
49968,Opp 78896,2023-06-15,2024-07-22, Account 610, Top 2,1.022,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,New Business,Campaing 377,Project/Budget Cancelled/Out of Business,Unknown,403
49969,Opp 78897,2023-10-31,2024-08-23, Account 610, Top 2,670.0,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,Existing Business,Campaing 377,Project/Budget Cancelled/Out of Business,Unknown,297
49970,Opp 78898,2024-03-07,2024-12-15, Account 610, Top 2,1.197,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,Existing Business,Campaing 377,Brand Recognition / Supplier Reputation,Unknown,283
49971,Opp 78899,2024-02-02,2024-07-17, Account 4492, Small,261.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 3,Unknown,New Business,Campaing 378,Brand Recognition / Supplier Reputation,Unknown,166
49972,Opp 78900,2024-07-04,2024-08-03, Account 615, Top 2,1.862,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 378,Automatically closed,Unknown,30
49973,Opp 78901,2024-07-17,2024-11-06, Account 5080, Small,27.0,Closed Won,Sales Specialist 118,Country 5,Region 2,Segment 3,Unknown,Existing Business,Campaing 378,Brand Recognition / Supplier Reputation,Unknown,112
49974,Opp 78902,2024-06-25,2024-07-01, Account 615, Top 2,174.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,6
49975,Opp 78903,2024-05-28,2024-07-05, Account 612, Small,738.0,Closed Lost,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,38
49976,Opp 78904,2024-05-09,2024-07-05, Account 623, Top 3,293.0,Closed Won,Sales Specialist 112,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Service & Support,Unknown,57
49977,Opp 78905,2024-05-03,2024-07-05, Account 623, Top 3,248.0,Closed Won,Sales Specialist 112,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Service & Support,Unknown,63
49978,Opp 78906,2024-06-04,2024-07-05, Account 619, Top 3,591.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,31
49979,Opp 78907,2024-07-02,2024-07-08, Account 615, Top 2,177.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,6
49980,Opp 78908,2024-03-27,2024-07-09, Account 139, Top 3,531.0,Closed Lost,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,104
49981,Opp 78909,2024-03-27,2024-07-09, Account 610, Top 2,659.0,Closed Lost,Sales Specialist 71,Country 5,Region 2,Segment 4,Unknown,Existing Business,Campaing 153,Project/Budget Cancelled/Out of Business,Unknown,104
49982,Opp 78910,2024-04-12,2024-07-10, Account 616, Top 3,309.0,Closed Lost,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,89
49983,Opp 78911,2024-04-08,2024-07-10, Account 616, Top 3,302.0,Closed Lost,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,93
49984,Opp 78912,2024-05-08,2024-07-10, Account 613, Top 3,269.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,63
49985,Opp 78913,2024-06-13,2024-07-12, Account 139, Top 3,184.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,New Business,Campaing 153,Price,Unknown,29
49986,Opp 78914,2024-06-19,2024-07-13, Account 618, Top 3,424.0,Closed Won,Sales Specialist 112,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Automatically closed,Unknown,24
49987,Opp 78915,2024-06-25,2024-07-13, Account 619, Top 3,83.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Automatically closed,Unknown,18
49988,Opp 78916,2024-07-02,2024-07-13, Account 619, Top 3,139.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Automatically closed,Unknown,11
49989,Opp 78917,2024-07-03,2024-07-18, Account 629, Top 3,43.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,15
49990,Opp 78919,2024-07-10,2024-07-20, Account 619, Top 3,5.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Automatically closed,Unknown,10
49991,Opp 78922,2024-07-04,2024-07-27, Account 617, Small,690.0,Closed Won,Sales Specialist 111,Country 5,Region 2,Segment 3,Unknown,Existing Business,Campaing 153,Automatically closed,Unknown,23
49992,Opp 78923,2024-07-05,2024-07-27, Account 613, Top 3,332.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Automatically closed,Unknown,22
49993,Opp 78924,2024-07-05,2024-07-27, Account 3388, Small,9.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 3,Unknown,Existing Business,Campaing 153,Automatically closed,Unknown,22
49994,Opp 78927,2024-07-26,2024-07-29, Account 612, Small,446.0,Closed Won,Sales Specialist 59,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Price,Unknown,3
49995,Opp 78928,2024-06-13,2024-07-30, Account 618, Top 3,268.0,Closed Won,Sales Specialist 112,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 153,Service & Support,Unknown,47
49996,Opp 78929,2024-06-19,2024-08-05, Account 168, Top 3,131.0,Closed Won,Sales Specialist 71,Country 5,Region 2,Segment 2,Unknown,New Business,Campaing 153,Brand Recognition / Supplier Reputation,Unknown,47
